r_channel;ir_channel
119674;154233
119699;154283
119641;154216
119708;154234
119693;154232
119717;154270
119696;154224
119717;154278
119667;154272
119737;154301
119710;154230
119730;154294
119721;154305
119743;154332
119707;154296
119713;154318
119728;154305
119760;154298
119702;154259
119742;154309
119713;154294
119737;154318
119699;154341
119732;154313
119736;154289
119739;154318
119707;154346
119739;154330
119742;154366
119748;154359
119745;154361
119778;154328
119739;154377
119734;154413
119699;154374
119771;154379
119729;154398
119770;154411
119773;154374
119770;154398
119728;154434
119755;154421
119764;154379
119772;154413
119782;154419
119779;154427
119745;154429
119749;154468
119726;154435
119783;154395
119757;154410
119805;154468
119769;154483
119792;154478
119752;154508
119802;154491
119823;154461
119808;154467
119776;154498
119796;154503
119794;154526
119783;154538
119803;154525
119823;154497
119808;154544
119782;154536
119761;154552
119826;154524
119772;154516
119812;154493
119791;154433
119764;154418
119722;154388
119718;154353
119728;154310
119720;154290
119734;154265
119730;154259
119713;154265
119686;154270
119698;154252
119720;154222
119705;154201
119718;154248
119701;154247
119699;154244
119680;154268
119707;154242
119741;154213
119705;154209
119707;154233
119717;154261
119715;154273
119700;154266
119734;154265
119765;154251
119710;154248
119684;154281
119692;154277
119735;154283
119704;154267
119742;154280
119738;154254
119715;154266
119686;154294
119701;154280
119728;154258
119724;154274
119730;154266
119717;154279
119714;154289
119698;154333
119696;154306
119723;154275
119717;154239
119715;154324
119741;154304
119715;154307
119694;154327
119716;154304
119719;154266
119713;154282
119701;154320
119716;154311
119708;154331
119718;154339
119722;154333
119740;154292
119719;154312
119689;154338
119698;154342
119720;154350
119718;154346
119725;154351
119754;154324
119726;154381
119717;154407
119701;154386
119742;154375
119743;154390
119760;154401
119771;154382
119747;154420
119732;154441
119716;154436
119756;154376
119758;154417
119767;154440
119759;154420
119736;154438
119705;154417
119712;154372
119724;154286
119688;154259
119704;154241
119701;154222
119674;154199
119657;154188
119674;154147
119682;154104
119666;154084
119643;154112
119641;154093
119640;154116
119623;154076
119641;154065
119643;154015
119639;154050
119594;154059
119602;154058
119635;154041
119634;154055
119631;154048
119627;154041
119644;154057
119620;154102
119609;154071
119648;154060
119645;154071
119645;154074
119639;154082
119634;154075
119620;154093
119613;154054
119641;154040
119623;154027
119644;154049
119621;154042
119621;154057
119600;154074
119629;154074
119645;154045
119636;154058
119597;154082
119629;154088
119625;154090
119599;154085
119617;154101
119637;154060
119626;154079
119601;154115
119621;154105
119631;154097
119626;154112
119633;154142
119640;154107
119650;154139
119613;154195
119594;154139
119661;154123
119641;154157
119654;154147
119648;154134
119640;154155
119597;154167
119607;154149
119642;154132
119658;154123
119646;154162
119644;154182
119637;154204
119618;154198
119645;154190
119645;154152
119656;154163
119661;154200
119648;154216
119628;154203
119630;154179
119620;154162
119640;154127
119597;154078
119564;154044
119573;153997
119558;153959
119555;153921
119564;153888
119546;153841
119516;153843
119498;153842
119475;153826
119520;153810
119529;153781
119526;153764
119548;153746
119503;153751
119470;153778
119467;153737
119514;153694
119517;153705
119510;153728
119503;153695
119485;153726
119457;153731
119505;153725
119501;153693
119504;153690
119493;153725
119492;153706
119494;153719
119473;153726
119488;153695
119504;153657
119485;153664
119480;153711
119468;153691
119482;153704
119460;153689
119485;153713
119492;153674
119482;153702
119436;153698
119463;153738
119487;153723
119488;153755
119487;153717
119512;153717
119485;153722
119454;153775
119448;153733
119489;153719
119471;153743
119505;153739
119480;153722
119487;153754
119446;153755
119460;153766
119491;153693
119467;153720
119487;153745
119494;153782
119481;153770
119475;153795
119495;153752
119528;153754
119490;153746
119484;153813
119502;153797
119501;153857
119498;153793
119517;153858
119532;153817
119509;153842
119484;153860
119497;153864
119505;153863
119491;153855
119497;153822
119526;153791
119472;153774
119443;153774
119411;153704
119476;153636
119434;153587
119449;153578
119416;153504
119398;153534
119387;153503
119408;153512
119402;153418
119402;153421
119392;153420
119401;153446
119385;153421
119365;153420
119365;153378
119397;153381
119364;153350
119338;153417
119367;153379
119376;153410
119366;153373
119389;153418
119382;153362
119378;153433
119352;153450
119374;153443
119378;153364
119384;153411
119385;153390
119387;153404
119361;153387
119360;153435
119350;153374
119407;153393
119362;153342
119388;153427
119370;153398
119399;153423
119354;153405
119399;153447
119410;153377
119386;153413
119353;153412
119374;153463
119373;153438
119396;153466
119402;153411
119406;153448
119381;153438
119380;153497
119365;153440
119407;153471
119376;153462
119400;153469
119392;153436
119412;153491
119356;153494
119389;153520
119395;153444
